Target_genes	NANOG|Average	SRX13365367|293	SRX13365368|293	SRX13441621|293	SRX13441622|293	SRX5286324|ES_cells	SRX5286325|ES_cells	SRX5286327|ES_cells	SRX5286328|ES_cells	SRX702044|hESC_derived_ectodermal_cells	SRX702037|hESC_derived_mesendodermal_cells	SRX702038|hESC_derived_mesendodermal_cells	SRX702042|hESC_derived_mesendodermal_cells	SRX702043|hESC_derived_mesendodermal_cells	SRX011617|hESC_H1	SRX011618|hESC_H1	SRX017277|hESC_H1	SRX100482|hESC_H1	SRX10448024|hESC_H1	SRX13437668|hESC_H1	SRX13437669|hESC_H1	SRX1303985|hESC_H9	SRX2881137|hESC_H9	SRX2881138|hESC_H9	SRX3288566|hESC_H9	SRX3288567|hESC_H9	SRX6101126|hESC_H9	SRX6101127|hESC_H9	SRX266862|hESC_HUES64	SRX266863|hESC_HUES64	SRX702036|hESC_HUES64	SRX702039|hESC_HUES64	SRX702040|hESC_HUES64	SRX702041|hESC_HUES64	SRX20532160|hESC_HUES8	SRX20532161|hESC_HUES8	SRX11783370|hESC_UCLA2	SRX11783372|hESC_UCLA2	SRX5286326|hESC_WIBR2	SRX5286329|hESC_WIBR2	SRX5457195|iPS_cells	SRX5457196|iPS_cells	SRX1424693|LNCAP	SRX1424694|LNCAP	SRX1424695|LNCAP	SRX1424696|LNCAP	SRX1424697|LNCAP	SRX10445282|Neural_crest_cells	SRX10445290|Neural_crest_cells	SRX10445300|Neural_crest_cells	SRX10445309|Neural_crest_cells	SRX11783374|PGCLC	SRX11783376|PGCLC	STRING
MSRB2	18.711538	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	155	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM183A	18.711538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	271	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB2	18.711538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0
BTBD10	18.711538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD63	18.711538	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	182	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAX1	18.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	191	146	192	143	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPDYA	18.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	239	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC5	18.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	268	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL12	18.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2AP	18.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	313	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF786	18.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	264	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M1AP	18.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	229	0	0	131	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GKAP1	18.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	300	343	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL1	18.673077	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	121	0	0	166	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL	18.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	109	175	0	0	130	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf167	18.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC27A1	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POFUT2	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	148	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0
PMP22	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	380	0	312	0	0	0	0	0	0	0
MRAS	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	309	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0
MPRIP	18.653846	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRINA	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0
CNTNAP5	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN7L3B	18.653846	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	153	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG4D	18.653846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	316	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPSNAP2	18.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	149	166	0	0	0	0	0	0	168	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0
MYADML2	18.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	246	287	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOOK1	18.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	230	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf38	18.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
CORO7-PAM16	18.634615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF696	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX24	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	295	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC10A7	18.615385	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	206	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPOLG	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	219	151	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTM1	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF1	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	180	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCK	18.615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMTN	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTCA	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	215	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABL2A	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDK4	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	217	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIL3	18.596154	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	120	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC5	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	224	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO3	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	329	0	0	0	0	0	0	0	0	0	0	0	0	152	0	149	0	0	0
CDK6	18.596154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC74A	18.596154	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	186	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLL2	18.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA1	18.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPRID2	18.576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	285	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLIT3	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	287	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2B	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17RA	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXE1	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	167	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0
FAM222A	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCSAP	18.557692	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB4	18.557692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	248	0	0	124	119	0	0	0	0	0	0	0	0	0	0	107	0	0	0
UBL3	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	295	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPAP2	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	194	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASSF4	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3C2B	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	277	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH1	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	262	181	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLMN	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	194	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM200A	18.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	200	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMO2	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	278	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHC4	18.519231	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	189	0	0	108	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB11FIP5	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	113	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	319	0	0
PRKD3	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	218	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX9	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF3	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT43	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	258	0	335	0	0	0	0	0	0	0
CFAP410	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0
CCND2	18.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHAX	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	78	170	0	0	0	0	0	0	145	151	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX6-1	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPIN2	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	310	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCTD2	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX2	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PD	18.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAPPC2	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	200	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP2B	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	220	0	0	86	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35A5	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTH1R	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	200	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICAM3	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-C	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2AK4	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	296	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHP2	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	180	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG3	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP1	18.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	347	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF346	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	218	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB39B	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	280	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFSD4B	18.461538	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	124	0	170	0	0	0	0	0	0	0
GRB14	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	210	155	0	0	254	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMPR	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	165	266	0	0	0	0	0	0	116	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	97	0	0	0	0	0	0	0	0	283	314	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV3	18.461538	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	169	162	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX21	18.461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	184	0	0	188	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	18.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	227	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUMBL	18.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	145	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCTP1	18.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	111	0	0	0	0	0	0	0	0	94	253	188	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNG1	18.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	129	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2	18.423077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGMA	18.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHA1	18.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0
CTTNBP2	18.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	362	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP11	18.403846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	260	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNE4	18.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	108	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	291	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLD1	18.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	248	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC3	18.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	193	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL4	18.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	271	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L3	18.384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	280	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX30	18.384615	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	96	130	0	0	0	0	0	0	164	132	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
